date,publication,sentiment
2018-06-30,Refinery 29,-0.1406551059729347
2018-07-31,Refinery 29,-0.16432584269651382
2018-08-31,Refinery 29,-0.14478873239428464
2018-09-30,Refinery 29,-0.21834625322983311
2018-10-31,Refinery 29,-0.2824658918644353
2018-11-30,Refinery 29,-0.10717299578050028
2018-12-31,Refinery 29,-0.08948194662473354
2019-01-31,Refinery 29,-0.21914734480163114
2019-02-28,Refinery 29,-0.25468164793991593
2019-03-31,Refinery 29,-0.29171974522274413
2019-04-30,Refinery 29,-0.13030069390892035
2019-05-31,Refinery 29,-0.2508591065290865
2019-06-30,Refinery 29,-0.1890504704874345
2019-07-31,Refinery 29,-0.35211267605468494
2019-08-31,Refinery 29,0.07692307691715976
2019-09-30,Refinery 29,-0.07769929364270667
2019-10-31,Refinery 29,-0.026720647773257715
2019-11-30,Refinery 29,-0.14534883720909106
2019-12-31,Refinery 29,-0.1376146788989423
2020-01-31,Refinery 29,-0.13878326996184526
2020-02-29,Refinery 29,-0.17920868890598976
2020-03-31,Refinery 29,-0.0821484992100457
2020-04-30,Refinery 29,0.0
2016-01-31,Vice,-0.2908265213441797
2016-02-29,Vice,-0.3858615611192457
2016-03-31,Vice,-0.24795458340286392
2016-04-30,Vice,-0.24413879337289088
2016-05-31,Vice,-0.30416810196343363
2016-06-30,Vice,-0.22666146949907878
2016-07-31,Vice,-0.28573856875738807
2016-08-31,Vice,-0.22216206460923618
2016-09-30,Vice,-0.2468222348699968
2016-10-31,Vice,-0.33321220930226503
2016-11-30,Vice,-0.22605997931742997
2016-12-31,Vice,-0.2555701179553912
2017-01-31,Vice,-0.3086460032625924
2017-02-28,Vice,-0.2818052594171496
2017-03-31,Vice,-0.27463718037314794
2017-04-30,Vice,-0.27885641135048456
2017-05-31,Vice,-0.2745205479451553
2017-06-30,Vice,-0.24449928027961246
2017-07-31,Vice,-0.27259853670043127
2017-08-31,Vice,-0.38412262640119327
2017-09-30,Vice,-0.2585949177876656
2017-10-31,Vice,-0.30205587770155456
2017-11-30,Vice,-0.3221041720652184
2017-12-31,Vice,-0.31954022988496567
2018-01-31,Vice,-0.24902840059783288
2018-02-28,Vice,-0.33897349125765963
2018-03-31,Vice,-0.26551181102353844
2018-04-30,Vice,-0.3029850746267526
2018-05-31,Vice,-0.272503840245692
2018-06-30,Vice,-0.3584534731322548
2018-07-31,Vice,-0.3310961968678855
2018-08-31,Vice,-0.17745302713980066
2018-09-30,Vice,-0.29588929588917545
2018-10-31,Vice,-0.2975090959976777
2018-11-30,Vice,-0.3418043202031951
2018-12-31,Vice,-0.2523008568707546
2019-01-31,Vice,-0.3383966244724311
2019-02-28,Vice,-0.2762030323004112
2019-03-31,Vice,-0.29663906478309954
2019-04-30,Vice,-0.29323308270652193
2019-05-31,Vice,-0.21823056300256397
2019-06-30,Vice,-0.32212885154039067
2019-07-31,Vice,-0.382743362831435
2019-08-31,Vice,-0.3999999999997959
2019-09-30,Vice,-0.5421920465564781
2019-10-31,Vice,-0.5275835275833226
2019-11-30,Vice,-0.4715025906733037
2019-12-31,Vice,-0.40477815699631076
2020-01-31,Vice,-0.45192307692276656
2020-02-29,Vice,-0.42501414827367007
2020-03-31,Vice,-0.39664804469257914
2016-01-31,Mashable,-0.20240622788386325
2016-02-29,Mashable,-0.14874551971321723
2016-03-31,Mashable,-0.2723449001050809
2016-04-30,Mashable,-0.16417910447755069
2016-05-31,Mashable,-0.14729411764698952
2016-06-30,Mashable,-0.1271703425621177
