month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,date,sentiment,observation_date,GDP,publication_Buzzfeed News,publication_CNBC,publication_CNN,publication_Economist,publication_Fox News,publication_Gizmodo,publication_Hyperallergic,publication_Mashable,publication_New Republic,publication_New Yorker,publication_Politico,publication_Reuters,publication_The Hill,publication_The Verge,publication_Vice News,publication_Washington Post,publication_Wired
2016-04-01,0.15807915,0.19241819,0.19289152,0.24591789,0.21153086,0.39897087,0.22504474,0.25828692,0.18683589,0.22030328,2016-04-30,-0.2478289913157997,2016-04-01,99.92219,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-04-01,0.31921682,0.2849249,0.34090686,0.24825527,0.3388811,0.20566681,0.28709272,0.31832322,0.22689673,0.34269157,2016-04-30,-0.5382215288609445,2016-04-01,99.92219,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-04-01,0.21312799,0.22240293,0.2567402,0.24628307,0.28521088,0.26701117,0.2505103,0.27456442,0.25400004,0.3249203,2016-04-30,-0.4742404227211637,2016-04-01,99.92219,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-04-01,0.24241567,0.20888212,0.252818,0.19150698,0.24323635,0.19823083,0.32070237,0.21270938,0.19854398,0.18952298,2016-04-30,0.0624999999980468,2016-04-01,99.92219,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-04-01,0.21858183,0.24865516,0.22179978,0.36784846,0.19273011,0.21437043,0.32763368,0.3205939,0.28119445,0.29517263,2016-04-30,-0.1710334788936786,2016-04-01,99.92219,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-04-01,0.20593375,0.29983884,0.19480336,0.3197735,0.21169414,0.24615791,0.31821606,0.33536607,0.58840305,0.25527295,2016-04-30,-0.356381446268984,2016-04-01,99.92219,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-04-01,0.2202462,0.30881345,0.19862743,0.28188556,0.19758287,0.19496237,0.3399055,0.28192052,0.28281638,0.25502712,2016-04-30,-0.1641791044775506,2016-04-01,99.92219,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-04-01,0.2792839,0.29295033,0.34099522,0.22794442,0.3916972,0.2060109,0.3296783,0.29474792,0.26357892,0.29014733,2016-04-30,-0.3844647519581617,2016-04-01,99.92219,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-04-01,0.26172253,0.34414223,0.22150208,0.24975905,0.24466804,0.19719794,0.36398056,0.26255015,0.3542625,0.29449362,2016-04-30,-0.3516508889401173,2016-04-01,99.92219,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-04-01,0.30373266,0.25188294,0.428902,0.22390431,0.49087778,0.21292496,0.26900062,0.30320063,0.21828175,0.28481323,2016-04-30,-0.4768848898540251,2016-04-01,99.92219,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-04-01,0.16233346,0.14917228,0.15233672,0.18756801,0.13755774,0.31925052,0.1442601,0.19961931,0.15432279,0.20830579,2016-04-30,-0.4595588235291302,2016-04-01,99.92219,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-04-01,0.26481324,0.18966803,0.410579,0.22700381,0.4524703,0.23100744,0.21943529,0.29337168,0.18488516,0.27523774,2016-04-30,-0.4184339314843318,2016-04-01,99.92219,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-04-01,0.20195386,0.25246522,0.20059678,0.3625539,0.19423823,0.22532985,0.3211409,0.30260283,0.2589425,0.24407043,2016-04-30,-0.1762615493958151,2016-04-01,99.92219,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-04-01,0.2796287,0.19411434,0.25052404,0.18727273,0.24597599,0.17785513,0.20627639,0.23991409,0.195917,0.3313659,2016-04-30,-0.6877888772923298,2016-04-01,99.92219,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2016-04-01,0.18168029,0.23695533,0.19626975,0.3248765,0.19573306,0.20942868,0.303581,0.28565422,0.26232386,0.26035067,2016-04-30,-0.1351025331724155,2016-04-01,99.92219,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-05-01,0.29610714,0.24680252,0.27488515,0.22217958,0.257395,0.17459372,0.24993497,0.26987788,0.21975581,0.27519915,2016-05-31,-0.5881047492231273,2016-05-01,99.89066,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-01,0.15688066,0.18055315,0.19736442,0.24430822,0.20735812,0.3684816,0.219485,0.25752562,0.18374299,0.21254472,2016-05-31,-0.3522580645159017,2016-05-01,99.89066,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-01,0.33215898,0.28561524,0.32159394,0.24400537,0.31473958,0.19858538,0.29686868,0.3120662,0.22414246,0.33272547,2016-05-31,-0.5320754716979307,2016-05-01,99.89066,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-01,0.21769276,0.2270408,0.24437857,0.24292879,0.2695679,0.25745672,0.25492847,0.27159527,0.27480507,0.3310545,2016-05-31,-0.5262004383342247,2016-05-01,99.89066,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-01,0.15515436,0.046879448,0.20787491,0.21778543,0.17497367,0.15537228,0.23925248,0.14805658,0.101784945,0.15712745,2016-05-31,-0.5294117646747405,2016-05-01,99.89066,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2016-05-01,0.21332297,0.2545068,0.21397917,0.35038018,0.19210073,0.20543525,0.3227313,0.31057462,0.28519896,0.29632577,2016-05-31,-0.1591666666666003,2016-05-01,99.89066,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-05-01,0.21317838,0.31242993,0.19167565,0.32844976,0.2091098,0.24882738,0.32850626,0.3401807,0.59413785,0.26133338,2016-05-31,-0.3961558996261622,2016-05-01,99.89066,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-05-01,0.22711812,0.32625785,0.20606932,0.28013495,0.21118131,0.18879098,0.3543741,0.2868848,0.28124675,0.26225287,2016-05-31,-0.1472941176469895,2016-05-01,99.89066,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2016-05-01,0.2866231,0.29084447,0.38322982,0.24113114,0.41481927,0.23091076,0.33067536,0.31926492,0.26000997,0.31001687,2016-05-31,-0.4360313315926079,2016-05-01,99.89066,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-05-01,0.26983753,0.3495467,0.2230059,0.24581629,0.24594437,0.17686604,0.35953182,0.25480005,0.3560273,0.2827723,2016-05-31,-0.4390549489886452,2016-05-01,99.89066,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2016-05-01,0.30186018,0.2366985,0.45932066,0.2218138,0.47847968,0.2164064,0.24367736,0.30349636,0.19192322,0.27310947,2016-05-31,-0.4850370370368933,2016-05-01,99.89066,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2016-05-01,0.14858375,0.1355165,0.14404456,0.17512617,0.13871092,0.3649361,0.12876926,0.21331951,0.1413613,0.19401687,2016-05-31,-0.4870509607347644,2016-05-01,99.89066,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-05-01,0.2510255,0.18473189,0.42543134,0.2257364,0.4584978,0.21919838,0.20883945,0.2822426,0.17943588,0.26933408,2016-05-31,-0.3370259906261879,2016-05-01,99.89066,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
